id_distribuidor,id_red,id_operacion,perdida_cosecha,dependientes,tiempo_vivienda,ingreso_neto,tipo_negocio,tiempo_op_negocio,edad,folio,creditos_con_claves_prevencion,creditos_completados_con_atraso,saldo_vencido_total,pagos_vencidos,creditos_totales,estado_distrito_federal,estado_jalisco,estado_mexico,estado_tabasco,estado_veracruz_de_ignacio_de_la_llave,sucursal_cardenas,sucursal_chalco,sucursal_chimalhuacan_2,sucursal_coatzacoalcos,sucursal_fortin,sucursal_ixtapaluca,sucursal_ixtapaluca_2,sucursal_nezahualcoyotl_2,sucursal_orizaba,sucursal_texcoco,sucursal_tonala,sucursal_tonala_2,sucursal_villahermosa,escolaridad_bachillerato,escolaridad_licenciatura,escolaridad_otro,escolaridad_primaria,escolaridad_secundaria,escolaridad_sin_estudios,escolaridad_tecnico,estado_civil_casada,estado_civil_divorciada,estado_civil_separada,estado_civil_soltera,estado_civil_union_libre,estado_civil_viuda,tipo_vivienda_familiar,tipo_vivienda_otro,tipo_vivienda_propia,tipo_vivienda_rentada,sexo_femenino,sexo_masculino,experiencia_no,experiencia_si,tipo_prestamo,target,probabilidad,target_predicted,grupo_riesgo,capital_pagado,capital_pendiente,capital,perdida_cosecha_estimada
101665,131704,131710,0.0,-0.7812465152139179,-0.3390308202878944,-0.0267117109327849,-0.3390308202878944,-0.5664370429533305,1.3228417118642053,1063538762,0.5135135135135135,0.1351351351351351,1.0708240768491248,0.1764586977559832,-0.145498063095776,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,prestamo_personal_red,1,0.33144604305852066,1.0,2,259000.05,0.0,259000.05,0.02586073969105862
101668,102391,102394,0.0,0.1446752805951699,-0.8403275796321448,-0.0115112960000145,-0.8403275796321448,-0.5664370429533305,-0.4887914658415451,1063538756,0.6470588235294118,0.0588235294117647,-0.5315910461937333,-0.9201054748371338,-0.5626783502022489,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,prestamo_personal_red,1,0.32457943207308715,1.0,2,239000.04,0.0,239000.04,0.02586073969105862
101668,110964,110967,0.0,0.1446752805951699,-0.8403275796321448,-0.0115112960000145,-0.8403275796321448,-0.5664370429533305,-0.4887914658415451,1063538756,0.6470588235294118,0.0588235294117647,-0.5315910461937333,-0.9201054748371338,-0.5626783502022489,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,prestamo_personal_red,1,0.32457943207308715,1.0,2,309000.06,0.0,309000.06,0.02586073969105862
101668,120520,120523,0.0,0.1446752805951699,-0.8403275796321448,-0.0115112960000145,-0.8403275796321448,-0.5664370429533305,-0.4887914658415451,1063538756,0.6470588235294118,0.0588235294117647,-0.5315910461937333,-0.9201054748371338,-0.5626783502022489,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,prestamo_personal_red,1,0.32457943207308715,1.0,2,280000.05,0.0,280000.05,0.02586073969105862
101668,131704,131707,0.0,0.1446752805951699,-0.8403275796321448,-0.0115112960000145,-0.8403275796321448,-0.5664370429533305,-0.4887914658415451,1063538756,0.6470588235294118,0.0588235294117647,-0.5315910461937333,-0.9201054748371338,-0.5626783502022489,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,prestamo_personal_red,1,0.32457943207308715,1.0,2,259000.05,0.0,259000.05,0.02586073969105862
101668,140828,140831,0.0,0.1446752805951699,-0.8403275796321448,-0.0115112960000145,-0.8403275796321448,-0.5664370429533305,-0.4887914658415451,1063538756,0.6470588235294118,0.0588235294117647,-0.5315910461937333,-0.9201054748371338,-0.5626783502022489,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,prestamo_personal_red,1,0.32457943207308715,1.0,2,281000.02,0.0,281000.02,0.02586073969105862
101668,149876,149879,0.0,0.1446752805951699,-0.8403275796321448,-0.0115112960000145,-0.8403275796321448,-0.5664370429533305,-0.4887914658415451,1063538756,0.6470588235294118,0.0588235294117647,-0.5315910461937333,-0.9201054748371338,-0.5626783502022489,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,prestamo_personal_red,1,0.32457943207308715,1.0,2,283999.97,0.0,283999.97,0.02586073969105862
101670,103083,103086,0.0,-0.7812465152139179,0.1622659390563559,-0.0561625148650273,0.1622659390563559,0.781184332108851,1.0865417321634552,1063539360,0.8571428571428571,0.0857142857142857,-0.1576074344230617,-0.5172859828641521,-0.1872160918064233,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,prestamo_personal_red,1,0.6239547512437106,0.0,8,25000.0,0.0,25000.0,0.08468265166093092
101674,102445,102457,0.0,-0.7812465152139179,-0.8403275796321448,-0.0172114515998034,-0.8403275796321448,0.781184332108851,1.6379083514652053,1063538910,0.2954545454545454,0.0681818181818181,0.1547192700768602,0.3666790134098913,0.0005150373914894,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,prestamo_personal_red,1,0.25675160624311455,1.0,1,88000.01,0.0,88000.01,0.014364894417930874
101674,111994,112001,0.0,-0.7812465152139179,-0.8403275796321448,-0.0172114515998034,-0.8403275796321448,0.781184332108851,1.6379083514652053,1063538910,0.2954545454545454,0.0681818181818181,0.1547192700768602,0.3666790134098913,0.0005150373914894,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,prestamo_personal_red,1,0.25675160624311455,1.0,1,93000.01,0.0,93000.01,0.014364894417930874
101683,102471,102484,0.0,-0.7812465152139179,-0.8403275796321448,-0.0565425252383466,-0.8403275796321448,-0.1172299179326033,-1.118924745043545,1063538932,0.5384615384615384,0.4615384615384615,-0.4537793093798842,1.1946968580210209,-0.6461144076235434,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,prestamo_personal_red,1,0.7524102757555664,0.0,9,52000.0,0.0,52000.0,0.11672151515956353
101683,113195,113202,0.0,-0.7812465152139179,-0.8403275796321448,-0.0565425252383466,-0.8403275796321448,-0.1172299179326033,-1.118924745043545,1063538932,0.5384615384615384,0.4615384615384615,-0.4537793093798842,1.1946968580210209,-0.6461144076235434,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,prestamo_personal_red,1,0.7524102757555664,0.0,9,52000.0,0.0,52000.0,0.11672151515956353
101690,102640,102647,0.0,-0.7812465152139179,0.6635626984006062,-0.0628126963981143,0.6635626984006062,-0.1172299179326033,-0.9613914252430452,1063539106,0.6153846153846154,0.1538461538461538,-0.2839390320325949,-0.4949071221989863,-0.3749472210043361,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,prestamo_personal_red,1,0.5847637316977576,0.0,7,50000.0,0.0,50000.0,0.058936320469954895
101696,101971,101976,0.0,-0.7812465152139179,0.6635626984006062,-0.01181530429867,0.6635626984006062,-1.0156441679740578,2.110508310866705,1063538497,0.3888888888888889,0.0,-0.6167257520121234,-0.908916044504551,-0.1663570774510997,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,prestamo_personal_red,1,0.6396733005254711,0.0,8,35000.0,0.0,35000.0,0.08468265166093092
101696,111146,111151,0.0,-0.7812465152139179,0.6635626984006062,-0.01181530429867,0.6635626984006062,-1.0156441679740578,2.110508310866705,1063538497,0.3888888888888889,0.0,-0.6167257520121234,-0.908916044504551,-0.1663570774510997,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,prestamo_personal_red,1,0.6396733005254711,0.0,8,50000.0,0.0,50000.0,0.08468265166093092
101696,120913,120918,0.0,-0.7812465152139179,0.6635626984006062,-0.01181530429867,0.6635626984006062,-1.0156441679740578,2.110508310866705,1063538497,0.3888888888888889,0.0,-0.6167257520121234,-0.908916044504551,-0.1663570774510997,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,prestamo_personal_red,1,0.6396733005254711,0.0,8,65000.0,0.0,65000.0,0.08468265166093092
101696,131558,131563,0.0,-0.7812465152139179,0.6635626984006062,-0.01181530429867,0.6635626984006062,-1.0156441679740578,2.110508310866705,1063538497,0.3888888888888889,0.0,-0.6167257520121234,-0.908916044504551,-0.1663570774510997,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,prestamo_personal_red,1,0.6396733005254711,0.0,8,83000.01,0.0,83000.01,0.08468265166093092
