id_distribuidor,folio,saldo_vencido_total,pagos_vencidos,creditos_totales,creditos_con_claves_prevencion,creditos_completados_con_atraso,creditos_completados_sin_atraso
103769,1063539968,10691.0,97.0,20,5,4,16
103771,1063539823,9118.0,5.0,58,46,1,57
103808,1063540107,20351.0,49.0,8,2,2,6
103824,1063539830,12772.0,119.0,34,25,4,30
103826,1063539822,24012.0,57.0,28,13,2,26
103858,1063540174,13188.0,53.0,20,16,4,16
103865,1063539905,18828.0,9.0,6,4,1,5
103866,1063539902,48608.0,27.0,7,5,2,5
103868,1063539900,85006.0,126.0,31,16,9,22
103869,1063539891,18596.0,31.0,12,4,2,10
103874,1063539949,3079.0,5.0,23,15,1,22
103876,1063539945,0.0,0.0,9,5,0,9
103879,1063545097,22019.0,62.0,141,9,3,138
103897,1063539938,12974.0,103.0,66,34,4,62
103914,1063540554,38787.0,138.0,53,13,6,47
103917,1063540551,16538.0,40.0,40,29,6,34
103920,1063540058,54483.0,104.0,50,42,6,44
103921,1063540542,11884.0,187.0,34,13,5,29
103929,1063540007,15383.0,178.0,33,25,4,29
103971,1063540187,0.0,52.0,81,44,0,81
104000,1063539888,7199.0,3.0,12,2,1,11
104050,1063540052,9580.0,11.0,57,20,4,53
104058,1063540047,0.0,11.0,8,4,0,8
104068,1063539857,8435.0,62.0,9,5,4,5
104081,1063540537,24634.0,94.0,60,33,3,57
104083,1063539931,122557.0,284.0,70,34,5,65
104116,1063540153,30369.0,159.0,54,39,6,48
104119,1063540143,30824.0,56.0,90,51,3,87
104121,1063540141,135250.0,143.0,131,70,11,120
104122,1063540118,126301.0,511.0,79,36,17,62
104136,1063540069,5615.0,82.0,29,5,2,27
104148,1063540731,11229.0,9.0,15,6,2,13
104151,1063540113,17295.0,44.0,93,45,4,89
104153,1063540720,68038.0,164.0,44,29,15,29
104154,1063540715,49476.0,52.0,100,55,7,93
104158,1063540713,39279.0,28.0,48,20,5,43
104159,1063540709,32950.0,50.0,38,24,4,34
104188,1063540103,612.0,39.0,38,12,1,37
104220,1063540267,156472.0,63.0,53,26,4,49
104225,1063540261,1982.0,270.0,473,17,1,472
104226,1063540066,95473.0,81.0,38,6,2,36
104227,1063541021,4615.0,53.0,12,10,2,10
104237,1063541018,14907.0,151.0,17,10,6,11
104264,1063540253,0.0,0.0,14,4,0,14
104266,1063540251,52173.0,61.0,75,48,4,71
104267,1063540385,4825.0,70.0,37,17,2,35
104269,1063540246,2026332.0,26.0,26,17,1,25
104276,1063540378,50178.0,125.0,59,42,8,51
104278,1063540243,13068.0,62.0,51,25,1,50
104283,1063540498,99759.0,279.0,35,22,12,23
104284,1063540237,0.0,4.0,29,12,0,29
104285,1063540611,11695.0,37.0,46,25,4,42
104304,1063540100,0.0,2.0,12,3,0,12
104305,1063540488,158021.0,162.0,24,12,4,20
104306,1063540605,31364.0,117.0,118,92,9,109
104307,1063540603,17788.0,67.0,77,55,5,72
104308,1063540231,92224.0,252.0,91,35,9,82
104311,1063540583,18129.0,34.0,66,48,2,64
104312,1063540164,743.0,138.0,17,9,1,16
104313,1063540580,12766.0,27.0,74,36,1,73
104316,1063540306,24095.0,65.0,76,44,6,70
104317,1063540158,0.0,0.0,1,0,0,1
104318,1063540297,19255.0,105.0,41,18,9,32
104322,1063540597,88813.0,138.0,96,72,8,88
104324,1063540369,22405.0,61.0,11,7,4,7
104325,1063540587,7865.0,37.0,21,10,4,17
104326,1063540362,27312.0,30.0,52,19,2,50
104330,1063540359,9216.0,11.0,15,8,1,14
104335,1063540352,45823.0,105.0,30,18,7,23
104359,1063540288,6937.0,52.0,23,12,2,21
104361,1063540277,34379.0,36.0,6,3,2,4
104382,1063540750,72285.0,933.0,34,25,13,21
104385,1063540746,8075.0,29.0,28,19,2,26
104390,1063540744,18599.0,35.0,12,4,4,8
104394,1063540740,2903.0,18.0,13,6,1,12
104398,1063545058,56510.0,150.0,49,12,10,39
104401,1063540483,140349.0,112.0,118,40,7,111
104402,1063540476,155707.0,282.0,50,27,13,37
104403,1063540227,42600.0,181.0,24,14,7,17
